region,district,odfs
Central Region,Abura Asebu Kwamankes,2
Central Region,Ajumako Enyan Essiam,4
Central Region,Asikuma Odoben Brakwa,3
Central Region,Assin South,2
Central Region,Gomoa East,4
Volta Region,Adaklu,5
Volta Region,Akatsi North,7
Volta Region,Akatsi South,6
Volta Region,Biakoye,17
Volta Region,Ho,6
Volta Region,Ho West,10
Volta Region,Hohoe,13
Volta Region,Keta,15
Volta Region,Ketu North,13
Volta Region,Kpando Municipa,19
Volta Region,North Dayi,5
Volta Region,Kadjebi,56
Volta Region,Ketu South,3
Volta Region,South Dayi,6
Upper East Region,Bawku,15
Upper East Region,Bawku West,6
Upper East Region,Binduri,29
Upper East Region,Bongo,13
Upper East Region,Builsa North,13
Upper East Region,Builsa South,11
Upper East Region,Kassena Nankana,40
Upper East Region,Pusiga,12
Upper East Region,Garu Tempane,51
Upper West Region,Daffiama Bussie Iss,37
Upper West Region,Jirapa,8
Upper West Region,Lawra,5
Upper West Region,Nadowli Kaleo,34
Upper West Region,Nandom,8
Upper West Region,Sissala West,19
Upper West Region,Wa East,19
Upper West Region,Wa West,85
Upper West Region,Lambussie Karni,17
Northern Region,Bole,37
Northern Region,Bunkpurugu,17
Northern Region,Central Gonja,32
Northern Region,Chereponi,68
Northern Region,Damongo,9
Northern Region,East Gonja,41
Northern Region,East Mamprusi,73
Northern Region,Gushegu,93
Northern Region,Karaga,64
Northern Region,Kpandai,41
Northern Region,Kumbungu,26
Northern Region,Mion,95
Northern Region,Nanumba North,65
Northern Region,Nanumba South,12
Northern Region,Saboba,66
Northern Region,Sagnarigu,2
Northern Region,Savelugu,9
Northern Region,Sawla-Tuna-Kalba,80
Northern Region,Tatale,60
Northern Region,Tolon,12
Northern Region,West Mamprusi,21
Northern Region,Yendi,27
Northern Region,Zabzugu,48
